id,source,regulator,framework,category,rule_title,rule_text,applies_to,enforcement,effective_date,last_updated,tags,created_at
SG-IMDA-001,Singapore,IMDA,Code of Practice for Online Safety (Online Safety Code) 2023,Prohibited/Harmful Content – 6 Categories,Six Categories of Harmful Content Platforms Must Moderate,Designated social media services must minimise end-users' exposure to: (1) Sexual content; (2) Violent content; (3) Suicide and self-harm content; (4) Cyberbullying content; (5) Content endangering public health; (6) Content facilitating vice and organised crime.,"Designated Social Media Services: Facebook, Instagram, TikTok, YouTube, Twitter/X, HardwareZone",Fine up to SGD 1 million or direction to block the service in Singapore,18/7/2023,18/7/2023,harmful_content|sexual_content|violence|self_harm|cyberbullying|public_health|organised_crime,
SG-IMDA-002,Singapore,IMDA,Code of Practice for Online Safety (Online Safety Code) 2023,Child Protection,Children Must Not Be Targeted with Harmful Content; Differentiated Accounts Required,"Children must not be targeted to receive content that is detrimental to their physical or mental well-being, including via advertisements, promoted content, and content recommendations. Children must be provided differentiated accounts with more restrictive default settings that are age-appropriate. Robust settings must be on by default and clear warnings must be given if children opt out.",Designated Social Media Services,Fine up to SGD 1 million or service blocking,18/7/2023,18/11/2024,children|child_safety|differentiated_accounts|mental_health|advertising|targeting|default_settings,
SG-IMDA-003,Singapore,IMDA,Code of Practice for Online Safety (Online Safety Code) 2023 + Nov 2024 Update,Advertising – Minor Protection,No Advertisements on Accounts of Users Under 18,Accounts belonging to users under 18 years old should be free of advertisements. Advertisements that could have a harmful effect on young users' mental health must be kept away from them.,Designated Social Media Services operating in Singapore,Fine up to SGD 1 million or service blocking,18/11/2024,18/11/2024,advertising|under_18|minors|mental_health|child_protection|no_ads,
SG-IMDA-004,Singapore,IMDA,Code of Practice for Online Safety 2023,Proactive Detection,Proactive Detection and Removal of CSAM and Terrorism Content,"Designated services must minimise end-user exposure to child sexual exploitation and abuse material (CSAM) and terrorism content through the use of technologies and processes. These must proactively detect and swiftly remove such content as technically feasible, minimising the time such content is available.",Designated Social Media Services,Fine up to SGD 1 million or service blocking,18/7/2023,18/7/2023,CSAM|terrorism|proactive_detection|content_removal|child_safety,
SG-IMDA-005,Singapore,IMDA,Code of Practice for Online Safety 2023,User Safety Tools,Platforms Must Provide User Safety Tools Including High-Risk Search Term Intervention,"End-users must have access to tools to restrict visibility of harmful content, limit account visibility, and limit location sharing. Users who use high-risk search terms relating to self-harm and suicide must be actively offered relevant safety information such as local suicide prevention hotlines.",Designated Social Media Services,Part of annual online safety report assessment,18/7/2023,18/7/2023,user_safety|self_harm|suicide|search_terms|safety_tools|hotlines,
SG-IMDA-006,Singapore,IMDA,Code of Practice for Online Safety 2023,User Reporting and Resolution,Effective and Transparent User Reporting Mechanism Required,"Platforms must provide an effective, transparent, easy to access and easy to use mechanism for end-users to report harmful content. Reports must be assessed and actioned in a timely, diligent manner proportionate to the severity of potential harm. End-users must be informed of the decision and may request a review of the decision.",Designated Social Media Services,Fine up to SGD 1 million or service blocking,18/7/2023,18/11/2024,user_reporting|transparency|appeals|reporting_mechanism|timely_action,
SG-IMDA-007,Singapore,IMDA,Code of Practice for Online Safety 2023,Accountability,Annual Online Safety Reports to IMDA (Publicly Published),Designated services must submit annual online safety reports to IMDA for publishing on IMDA's website. Reports must cover: steps taken to mitigate Singapore users' exposure to harmful content; types and volume of harmful content encountered; and actions taken on user reports including number of accounts suspended or banned.,Designated Social Media Services,IMDA may direct platforms to comply; non-compliance leads to fines or blocking,18/7/2023,18/7/2023,annual_report|accountability|transparency|IMDA|safety_metrics,
SG-IMDA-008,Singapore,IMDA,Internet Code of Practice (ICOP),Prohibited Online Content,Prohibition on Content That Incites Racial or Religious Hatred,"Online content must not depict or promote any matter likely to cause feelings of enmity, ill-will, or hostility between different racial or religious groups in Singapore. Content must not contain ethnic, racial, or religious hatred, strife or intolerance, including disrespectful images of religious figures or objects.",All licensed internet content providers and social media in Singapore,IMDA enforcement action; licence suspension or criminal charges under the Sedition Act,15/7/1996,1/1/2022,racial_harmony|religious_harmony|hate_speech|sedition|Singapore,
TT-ADS-001,TikTok,TikTok For Business,TikTok Advertising Policies (Global) – Updated February 2025,Prohibited – Absolute Bans,Prohibited Products and Services – No Exceptions,"The following are absolutely prohibited from advertising on TikTok globally: illegal products or services; weapons, ammunition, explosive devices; tobacco products including e-cigarettes; prescription-only medicines; psychoactive substances and related paraphernalia; adult/sexual content; counterfeit goods; fake documents; software for covert surveillance; political campaign materials; content inciting hate speech or discrimination.",All TikTok advertisers globally,Instant ad rejection; repeated violations may result in account suspension or permanent ban from all ByteDance platforms,1/2/2025,1/4/2026,prohibited|weapons|tobacco|drugs|adult_content|counterfeit|political|hate_speech,
TT-ADS-002,TikTok,TikTok For Business,TikTok Advertising Policies (Global) – Updated February 2025,Restricted – Pre-Approval Required,Restricted Categories Requiring Pre-Approval and Licensing Documentation,"The following categories are restricted and require prior approval, documentation and/or licensing before running ads: financial services and cryptocurrency (no guaranteed returns, 18+ targeting mandatory); health supplements, skincare, over-the-counter pharmaceuticals (no 'clinically proven' claims without peer-reviewed evidence; no before/after imagery); dating and adult products (market-specific licensing and responsible messaging); online gambling (market-specific licensing required).",All TikTok advertisers in applicable markets,Ad rejection until documentation verified; account review on repeated non-compliance,1/2/2025,1/8/2025,restricted|financial_services|crypto|health_supplements|dating|gambling|pre_approval,
TT-ADS-003,TikTok,TikTok For Business,TikTok Advertising Policies (Global) – Updated February 2025,Ad Content – Quality and Honesty,"Ads Must Be Honest, Non-Deceptive and Consistent with Landing Page","All ad content must not contain misleading claims, false information, or deceptive practices. Guaranteed results claims (e.g., guaranteed weight loss without exercise, disease cure claims) are banned worldwide. Ad content must be consistent with the landing page. Fat loss creams, weight loss teas/supplements making unsubstantiated claims are prohibited.",All TikTok advertisers globally,Ad rejection; possible account suspension,1/2/2025,1/8/2025,misleading_claims|honesty|weight_loss|landing_page_consistency|deception,
TT-ADS-004,TikTok,TikTok For Business,TikTok Advertising Policies (Global) – Updated February 2025,Minor Protection,Strict Restrictions on Advertising to Users Under 18,"Advertising for alcohol, tobacco, gambling, adult content, and similar restricted categories must be age-gated to 18+ audiences. The number of ads shown to users under 18 is limited. Products designed for minors (toys, baby products) are allowed but must be targeted to 18+ audiences in specified markets including Australia, Canada, and the United States. Ads must not speak to or exhort minors, or appear overly childish to appeal to minors in those markets.",All TikTok advertisers globally; specific restrictions vary by market,Ad rejection or targeting restrictions applied automatically,1/2/2025,1/11/2025,minors|under_18|age_gating|alcohol|tobacco|gambling|child_targeting,
TT-ADS-005,TikTok,TikTok For Business,TikTok Advertising Policies (Global) – Updated February 2025 / Branded Content Policy November 2025,Commercial Disclosure,Mandatory Disclosure for Branded and Commercial Content (Effective September 2025),"From September 1, 2025, all commercial content (branded organic content and branded content / paid partnerships) must include proper disclosure by toggling the 'Disclose commercial content' option before publishing. Undisclosed commercial content receives an in-app notification within 2–3 hours; if not disclosed or appealed within 24 hours, the content may be ineligible for the For You feed and limited in reach. Disclosed branded content shows a 'Paid partnership' label; disclosed branded organic content shows a 'Promotional content' label.",All TikTok creators and brand accounts globally,Content removed from For You feed; limited reach; potential account restrictions,1/9/2025,1/11/2025,commercial_disclosure|branded_content|paid_partnership|influencer|transparency|FYP,
TT-ADS-006,TikTok,TikTok For Business,TikTok Advertising Policies (Global) – Updated February 2025,Advertiser Account Conduct,Prohibition on Circumventing Moderation Systems and Scam Advertising,"Advertisers must not bypass, circumvent, or interfere with TikTok's advertising systems, policies, or moderation processes. Promotion of any form of scam is prohibited, including false job opportunities, deceptive products/services, and content encouraging users to engage in scams outside TikTok's ecosystem. Impersonating a public figure or submitting falsified business verification documents is not allowed.",All TikTok advertisers globally,Account suspension or permanent ban from all ByteDance platforms; full traffic control restrictions,1/2/2025,8/6/2026,scam|impersonation|circumvention|moderation|deception|account_conduct,
TT-ADS-007,TikTok,TikTok For Business,TikTok Branded Content Policy – Market Specific Requirements (November 2025),Malaysia/Singapore Specific,"Malaysia and Singapore: Film, TV and Game Trailers Allowed Without Age Restrictions","Film, TV shows, and game trailers are allowed in Malaysia and Singapore without age restrictions in branded content. Energy drinks are not restricted in Malaysia. Pork food products are allowed (restriction only applies in Bangladesh). Religious content is allowed in Malaysia and Singapore (restricted only in Japan, South Korea, Taiwan).",TikTok branded content creators and advertisers in Malaysia and Singapore,Content geo-blocked or age-gated if policies not followed,1/11/2025,1/11/2025,Malaysia|Singapore|market_specific|film_trailers|branded_content|regional,
TT-ADS-008,TikTok,TikTok For Business,TikTok Advertising Policies (Global) 2025,AI Content,Mandatory AI Disclosure Toggles for AI-Generated Ad Creative (Q2 2026),"As of Q2 2026, TikTok requires mandatory AI disclosure toggles for AI-generated advertising creative. Ads using AI-generated imagery or audio must disclose this via the designated in-platform toggle. Enforcement on AI disclosure is stricter than previous periods.",All TikTok advertisers globally,Silent strikes and ad rejection; repeated violations risk account review,1/4/2026,4/5/2026,AI_disclosure|AI_generated_content|generative_AI|transparency|2026,
META-ADS-001,Meta,Meta Platforms Inc.,Meta Advertising Standards (Updated 2025),Prohibited Content – 22 Categories,22 Prohibited Content Categories in Meta Advertising,"Meta prohibits ads containing or promoting: illegal products or services; discriminatory content against protected characteristics; tobacco and related products; unsafe supplements; weapons, ammunition, or explosives; adult content or nudity; adult friend finders or dating services (without prior written permission); multi-level marketing; sensational or shocking content (excessive violence, gore); personal attributes assumptions (e.g. implying knowledge of user's health, religion, or sexual orientation); misinformation; vaccine discouragement; controversial political content beyond policy; payday loans; penny auctions; spy/surveillance equipment; bad grammar or profanity; deceptive claims; fraudulent, misleading or offensive content; malware or software violations; intellectual property violations.","All advertisers on Facebook, Instagram, Messenger, and Meta Audience Network",Ad rejection; advertising account restrictions; permanent ban for repeated violations,1/1/2024,15/6/2025,prohibited|tobacco|weapons|adult_content|misinformation|discriminatory|malware|surveillance,
META-ADS-002,Meta,Meta Platforms Inc.,Meta Advertising Standards (Updated 2025),Restricted – Special Ad Categories,"Special Ad Categories: Housing, Employment, Credit (Strict Targeting Restrictions)","Ads for housing, employment, or credit (Special Ad Categories – SAC) face strict targeting limitations. From March 2025, customer lists cannot be shared across different businesses within these sectors for targeting purposes. SAC ads are restricted to age 18+ targeting; no gender, zip code, lookalike, or interest-keyword targeting; no automatic audience expansion. Financial products and services SAC came into effect in October 2024.","All Meta advertisers running housing, employment, or credit ads",Ads paused; account restricted if SAC category not properly declared,1/10/2024,1/3/2025,special_ad_categories|SAC|housing|employment|credit|targeting_restrictions|discrimination,
META-ADS-003,Meta,Meta Platforms Inc.,Meta Advertising Standards (Updated 2025),Privacy and Data,Sensitive Data Categories – No Pixel/Conversions API Optimization Allowed,"Organizations in health, religion, politics, race, gender identity, sexuality, nationality, and trade union affiliation categories (Meta's 'Special Data Categories') can no longer use Meta Pixel or Conversions API data to optimize campaigns for Sales, Lead Generation (off-platform), or Complete Registration. Building retargeting and lookalike audiences from these events is also restricted. Advertisers must be transparent about data collection, obtain explicit user consent, and allow users to view, edit, or delete personal data. GDPR and CCPA compliance is required.",All Meta advertisers in sensitive sector categories globally,Ad campaigns paused; account restrictions; regulatory fines (third-party) for GDPR/CCPA non-compliance,1/1/2025,15/6/2025,privacy|GDPR|CCPA|Pixel|Conversions_API|sensitive_data|health|religion|politics,
META-ADS-004,Meta,Meta Platforms Inc.,Meta Advertising Standards (Updated 2025),Teen/Minor Protection,Restrictions on Profiling and Targeting Users Under 17 / 18,"Meta prohibits profiling users under 17 for advertising purposes. Purchase/event optimization cannot be used for ages 13–17 traffic. In line with proposed KOSA (Kids Online Safety Act) and COPPA 2.0 legislative trends, data collection on users under 17 without consent is effectively restricted. Teen users' accounts have default privacy protections, and advertisers cannot use sensitive data categories to target teens.",All Meta advertisers on Facebook and Instagram globally,Ad targeting restrictions applied automatically; account restrictions for violations,1/1/2025,15/6/2025,minors|teens|under_17|COPPA|KOSA|targeting|profiling|privacy,
META-ADS-005,Meta,Meta Platforms Inc.,Meta Advertising Standards (Updated 2025),Personal Health and Appearance,Prohibition on Ads Generating Negative Self-Perception or Implying Unrealistic Results,"Ads must not generate a negative self-perception or imply unrealistic or unexpected results for personal health or appearance. Before-and-after imagery for weight loss, cosmetic surgery, or body transformation that creates unrealistic expectations is prohibited. Ads for health and wellness products must not make unverified health claims.",All Meta advertisers globally,Ad rejection; advertiser educational notice for first violations,1/1/2024,15/6/2025,health|appearance|weight_loss|body_image|negative_self_perception|before_after|wellness,
META-ADS-006,Meta,Meta Platforms Inc.,Meta Lead Ads Terms – October 2025 Update,Lead Ads and Data Collection,Lead Ads Data Must Be Used Only for Declared Purpose; Advertiser Is Data Controller,"Data collected through Meta Lead Ads forms must be used only for the specific purpose declared in the campaign. Data cannot be reused for newsletters or other communications without new consent. The advertiser is the data controller and is fully responsible for obtaining, managing, and storing consent. Meta may suspend lead forms if inconsistencies or violations are detected. Advertisers must ensure appropriate technical and organizational security for collected data.",All advertisers using Meta Lead Generation ad formats,Temporary suspension of lead form functionality; requirement to accept new terms,1/10/2025,18/10/2025,lead_ads|data_collection|consent|data_controller|privacy|GDPR|purpose_limitation,
META-ADS-007,Meta,Meta Platforms Inc.,Meta Advertising Standards (Updated 2025),AI-Generated Content Labeling,Mandatory AI-Generated Image Label (C2PA Tagged Images),All C2PA-tagged AI-generated images used in ads receive an automatic 'AI generated' badge. The undisclosed editing of images using AI (including face swaps or synthetic imagery) triggers silent strikes. Advertisers must disclose AI-generated content in their ads. This was introduced via Meta's February 2024 update with provenance logging through prompt metadata.,All Meta advertisers using AI-generated imagery in ad creative globally,Silent strikes; potential account restrictions for undisclosed AI edits,1/2/2024,15/6/2025,AI_generated|C2PA|labeling|synthetic_media|deepfakes|disclosure|2024,
MY-ASA-001,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003 – 4th Edition,General Principles,All Advertising Must Be Legal Decent Honest and Truthful,"All advertisements must be legal, decent, honest and truthful. They should not mislead consumers by inaccuracy, ambiguity, exaggeration, omission, or any other means. Advertisements must not exploit the credulity, lack of knowledge or inexperience of consumers.","All advertisers on Malaysian media (print, broadcast, digital, outdoor)",Complaint to ASA Malaysia Secretariat; adjudication; public ruling; media withdrawal of ad,2003-01-01,2023-01-01,honesty|truthful|misleading|general_principles|ASA,2026-07-17 00:00:00+00
MY-ASA-002,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003,Substantiation,Advertiser Must Hold Proof Before Making Claims,"Advertisers must hold adequate substantiation for all claims—objective and subjective—before the advertisement is published. The advertiser bears the burden of proof. If challenged, proof must be supplied promptly. If the proof is inadequate, the claim must be withdrawn.",All advertisers in Malaysia,ASA adjudication; compulsory withdrawal of unsubstantiated ad,2003-01-01,2023-01-01,substantiation|proof|claims|evidence|ASA,2026-07-17 00:00:00+00
MY-ASA-003,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003,Harmful Products – Absolute Ban,Gambling Advertising is Prohibited in Malaysia,"Gambling, lottery, and betting advertisements are prohibited under Malaysian law. The Common Gaming Houses Act 1953 and the Betting Act 1953 make the promotion, advertisement, or soliciting of gambling and betting services a criminal offence in Malaysia. No exemptions exist for digital or social media advertising.",All advertisers and platforms operating in Malaysia,Hard ban — Criminal prosecution under Common Gaming Houses Act 1953; Betting Act 1953; fines and imprisonment,1953-01-01,2023-01-01,gambling|casino|lottery|betting|hard_ban|prohibited|criminal,2026-07-17 00:00:00+00
MY-ASA-004,malaysia,ASA Malaysia / Ministry of Health,Malaysian Code of Advertising Practice + Control of Tobacco Product Regulations 2004,Tobacco – Absolute Ban,Tobacco and E-Cigarette Advertising Completely Prohibited,"Advertising, promotion and sponsorship of tobacco products, cigarettes, e-cigarettes, and vaping products is completely prohibited under Malaysian law. The Control of Tobacco Product Regulations 2004 and the Control of Tobacco Products (Amendment) Regulations 2022 ban all forms of tobacco advertising including digital advertising. This ban extends to indirect advertising that promotes a tobacco brand without directly showing the product.",All advertisers and platforms,"Hard ban — Penalties under Control of Tobacco Product Regulations; fines up to RM5,000",2004-01-01,2022-01-01,tobacco|cigarette|e-cigarette|vaping|hard_ban|prohibited|health,2026-07-17 00:00:00+00
MY-ASA-005,malaysia,Ministry of Health Malaysia,Control of Drugs and Cosmetics Regulations 1984 + Drug Advertisement Act,Pharmaceutical – Restricted,Prescription-Only Medicines Cannot Be Advertised to Public; OTC Requires Approval,"Prescription-only medicines (POM) cannot be advertised directly to consumers. Over-the-counter (OTC) medicines require prior approval from the Drug Advertisement Board (DAB) before any advertisement is published. Health product advertisements must not make disease cure claims, guaranteed results claims, or contain testimonials from medical professionals unless approved.","All advertisers of health, pharmaceutical, and supplement products in Malaysia",Ad withdrawal; fines under Drug Advertisement Act; DAB enforcement,1984-01-01,2022-01-01,pharmaceutical|prescription|OTC|DAB|health_claims|medicine|drug,2026-07-17 00:00:00+00
MY-ASA-006,malaysia,Ministry of Health Malaysia,Alcohol Advertising Guidelines Malaysia,Alcohol – Restricted Targeting,Alcohol Advertising Targeting Muslim Audiences is Prohibited; Strict Restrictions Apply,"Alcohol advertising in Malaysia operates under strict restrictions. Alcohol advertising must not target Malay (Muslim) audiences. Alcohol may not be advertised on media primarily consumed by Muslim audiences. Alcohol advertising must not be placed near mosques, surau, or Islamic educational institutions. Any alcohol ad must include responsible drinking messaging and must not associate alcohol with driving, machinery, or activities requiring alertness. Direct targeting of Muslim demographics via digital platforms is prohibited.",All advertisers of alcoholic beverages in Malaysia,Hard ban for targeting Muslim audiences — administrative fines; licence revocation; potential prosecution,2003-01-01,2023-01-01,alcohol|muslim|targeting|hard_ban|restricted|religious_sensitivity|Malaysia,2026-07-17 00:00:00+00
MY-ASA-007,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003,Children – Protection,"Ads Must Not Exploit Children's Inexperience; No Tobacco, Alcohol, Gambling to Minors","Advertisements directed at children (under 18) must not exploit their inexperience or credulity. Advertisements must not encourage children to pester parents. Tobacco, alcohol, gambling and adult products must not be advertised in any context where children are the primary audience. Child actors or imagery must not be used in a suggestive or inappropriate manner. Ads must not portray children in dangerous situations.",All advertisers on Malaysian media targeting or including minor audiences,ASA adjudication; compulsory withdrawal; potential referral to regulatory authorities,2003-01-01,2023-01-01,children|minors|under_18|tobacco|alcohol|gambling|exploitation|protection,2026-07-17 00:00:00+00
MY-ASA-008,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003,Cultural Sensitivity – Race and Religion,Advertisements Must Not Cause Racial or Religious Disharmony,"Advertisements must not contain material that is likely to cause offence to racial or religious groups. Content must not demean any religion, race, culture or ethnic group. Advertisements must not use religious figures, texts, or symbols in a manner that could be considered disrespectful. The portrayal of Malaysian racial and religious plurality must be done sensitively.",All advertisers in Malaysia,ASA adjudication; compulsory withdrawal; referral to Ministry of Home Affairs or MCMC,2003-01-01,2023-01-01,race|religion|cultural_sensitivity|disharmony|Malaysia|racial_harmony|Islamic,2026-07-17 00:00:00+00
MY-ASA-009,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003,Decency – Modesty,Advertisements Depicting Nudity or Immodesty Must Consider Malaysian Cultural Standards,Advertisements must not contain nudity or sexually suggestive imagery that offends Malaysian cultural and religious standards. Malaysia is a predominantly Muslim country and standards of modesty (especially for Malay Muslim audiences) are considerably higher than Western standards. Clothing in advertisements should be appropriate to the target audience and context. Underwear and swimwear advertising must be handled carefully for Muslim-targeted campaigns.,All advertisers on Malaysian digital and broadcast media,ASA adjudication; compulsory withdrawal; MCMC enforcement for broadcast violations,2003-01-01,2023-01-01,nudity|decency|modesty|Islamic_values|Malaysia|cultural_standards,2026-07-17 00:00:00+00
MY-ASA-010,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003,Language – National Language,Bahasa Malaysia as National Language Requirement for Mass Advertising,"Under the National Language Act 1967, Bahasa Malaysia (Malay) must be used in advertising aimed at the general Malaysian public. Advertisements in electronic media must prioritise Bahasa Malaysia for mass audience campaigns. Advertisements targeted exclusively at specific ethnic communities (Chinese, Indian, etc.) may use the community's primary language. Advertisements targeting Malay audiences must be in Bahasa Malaysia.",All advertisers on Malaysian mass media and government-regulated channels,Administrative directive; withdrawal of non-compliant ad; fines for broadcast violations,1967-01-01,2023-01-01,language|Bahasa_Malaysia|national_language|Malay|broadcast|digital,2026-07-17 00:00:00+00
MY-ASA-011,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003,Financial Advertising – Restricted,"Financial Ads Must Be Clear; No Misleading Interest Rate, Returns or Guarantee Claims","Advertisements for financial products (loans, credit cards, investments, insurance) must clearly state all material terms and conditions. Advertisements must not imply guaranteed investment returns. Advertisements must not use deceptive, misleading or obscure small-print practices. Any financial advertisement must comply with Bank Negara Malaysia and Securities Commission guidelines.",All advertisers of financial products and services in Malaysia,ASA adjudication; BNM and SC referral for serious violations; licence revocation,2003-01-01,2023-01-01,financial|investment|loan|insurance|misleading|guaranteed_returns|BNM|SC,2026-07-17 00:00:00+00
MY-ASA-012,malaysia,ASA Malaysia,Malaysian Code of Advertising Practice (MCAP) 2003,Comparative Advertising,Comparative Advertising Must Be Factual and Not Disparage Competitors,"Comparative advertising that directly or indirectly identifies a competitor is permitted only if comparisons are factually supportable and not misleading. Advertisements must not denigrate, discredit, or disparage competitors or their products in a misleading way. Unsupported superlatives ('best', 'number one') are discouraged unless supported by evidence.",All advertisers in Malaysia,ASA adjudication; compulsory withdrawal; civil action by competitor,2003-01-01,2023-01-01,comparative|competitor|disparagement|superlative|factual|Malaysia,2026-07-17 00:00:00+00
MY-KPDNHEP-001,malaysia,KPDNHEP (Ministry of Domestic Trade),Consumer Protection Act 1999 (CPA),False and Misleading Claims – Consumer Protection,False or Misleading Representations in Advertising are a Criminal Offence,"Under the Consumer Protection Act 1999 (CPA), it is an offence to make a false or misleading representation in connection with the supply or promotion of goods or services. This applies to all advertising including digital advertising. Prohibited representations include false claims about price, quality, standard, grade, composition, or country of origin.",All sellers and advertisers of goods and services in Malaysia,"Criminal prosecution; fines up to RM250,000 per offence; imprisonment; prohibition orders",1999-01-01,2021-01-01,consumer_protection|false_claims|misleading|CPA|criminal|Malaysia,2026-07-17 00:00:00+00
MY-KPDNHEP-002,malaysia,KPDNHEP,Price Control and Anti-Profiteering Act 2011,Price Advertising,Advertised Prices Must Be Accurate and All-Inclusive,"Any price stated in an advertisement must be the actual price the consumer will pay. Hidden charges, mandatory fees, or add-ons not included in the advertised price are prohibited. Prices must include all applicable taxes (e.g. SST). Promotional prices must clearly state the validity period.",All advertisers and retailers in Malaysia,Fines under Price Control Act; compulsory correction,2011-01-01,2023-01-01,price|SST|transparency|hidden_charges|promotional,2026-07-17 00:00:00+00
MY-MCMC-ADV-001,malaysia,MCMC / Content Forum,Malaysian Communications and Multimedia Content Code 2022,Digital Advertising – Targeting and Tracking,Consent Required for Behavioural and Interest-Based Ad Targeting in Malaysia,"Digital advertisers must obtain informed consent from Malaysian users before using cookies, tracking pixels, or behavioural data for targeted advertising. Consent must be specific, informed, and freely given. Privacy notices must be clear. The Personal Data Protection Act 2010 (PDPA) applies to all digital advertising data collection. Data of Malaysian users must be protected and cannot be transferred to jurisdictions without adequate protection.",All digital advertisers and platforms targeting Malaysian users,PDPA enforcement; fines; MCMC action; platform licence review,2010-01-01,2023-01-01,PDPA|privacy|consent|tracking|cookies|behavioural_targeting|digital|Malaysia,2026-07-17 00:00:00+00
MY-MCMC-ADV-002,malaysia,MCMC,Communications and Multimedia Act 1998,Influencer and Sponsored Content Disclosure,Sponsored and Paid Social Media Content Must Be Clearly Disclosed,"Social media influencers and content creators in Malaysia must clearly disclose paid partnerships, sponsored content, and gifted products. Failure to disclose is considered a misleading practice under the Consumer Protection Act and MCMC guidelines. Disclosures must be prominent and not hidden in hashtags. The use of '#ad', '#sponsored', '#gifted' or equivalent Bahasa Malaysia disclosures is required.","All influencers, content creators, and brands using influencer marketing in Malaysia",MCMC enforcement; Consumer Protection Act prosecution; platform moderation,2022-01-01,2023-01-01,influencer|sponsored_content|disclosure|paid_partnership|social_media|transparency|Malaysia,2026-07-17 00:00:00+00
MY-MCMC-ADV-003,malaysia,MCMC,Malaysian Communications and Multimedia Content Code 2022,Halal Advertising Standards,Halal Claims in Advertising Must Be Certified and Verified,"Any advertisement claiming a product is 'Halal' must be backed by a valid JAKIM (Department of Islamic Development Malaysia) or recognised Halal certification. Making false Halal claims is an offence under the Trade Descriptions Act 2011. Halal advertisements must not associate Halal products with non-Halal contexts (e.g., alcohol, pork) in the same creative.",All advertisers making Halal claims in Malaysia,"Trade Descriptions Act 2011 prosecution; fines up to RM250,000; JAKIM enforcement",2011-01-01,2023-01-01,halal|JAKIM|certification|trade_descriptions|Muslim|Malaysia|religious,2026-07-17 00:00:00+00
MY-MDA-001,malaysia,Ministry of Health,Malaysian Dietary Supplement Guidelines + Control of Drugs Regulations,Health and Supplement Claims,Health Supplements Cannot Claim to Cure or Treat Disease,"Health supplement advertisements must not claim to cure, prevent, or treat any disease or medical condition. Weight loss supplements cannot guarantee results. Before-and-after imagery for supplements is prohibited unless clinically validated. Advertisements must include the standard disclaimer: 'This product is not intended to diagnose, treat, cure or prevent any disease.' Testimonials cannot claim medical efficacy.",All advertisers of health supplements and wellness products in Malaysia,DAB enforcement; product seizure; prosecution,2003-01-01,2022-01-01,health_supplement|disease_claim|weight_loss|testimonial|before_after|DAB|wellness,2026-07-17 00:00:00+00
MY-CRYPTO-001,malaysia,Securities Commission Malaysia,SC Digital Assets Guidelines 2020 (Updated 2024),Cryptocurrency and Digital Assets – Restricted,Cryptocurrency Advertising Must Be Approved by Securities Commission,"All advertisements for digital assets, cryptocurrency exchanges, initial coin offerings (ICOs), token sales, or crypto investment products must be approved by the Securities Commission Malaysia (SC). Advertisers must be registered with the SC. Advertisements must not promise guaranteed returns or guaranteed capital preservation. Risk warnings are mandatory in all crypto advertisements.",All advertisers and platforms running cryptocurrency or digital asset ads in Malaysia,SC enforcement; fines; prosecution under Capital Markets and Services Act; platform bans,2020-01-01,2024-01-01,cryptocurrency|crypto|digital_assets|ICO|SC|restricted|risk_warning|Malaysia,2026-07-17 00:00:00+00
